,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
81,1644866413.2007408,13.758170127868652,101.5,23.61,22.5,22.75,28.75,83.0,-44.3847656,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
82,1644866413.366915,13.87746810913086,102.46,23.64,22.0,22.25,29.5,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.11
83,1644866413.538437,14.089628219604492,102.22,23.59,22.25,22.75,29.75,83.5,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,-0.05
84,1644866413.7010305,14.209072589874268,101.71,23.58,22.5,23.75,28.75,83.75,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,0.05
85,1644866413.8859956,14.424745321273804,102.51,23.59,22.5,23.0,29.25,83.5,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,0.03
86,1644866414.0486443,14.543574333190918,102.72,23.59,23.0,22.5,28.5,83.5,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,0.0
87,1644866414.2179298,14.775359153747559,101.98,23.66,22.5,22.5,28.75,83.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.0
88,1644866414.3871224,14.87558126449585,101.56,23.61,22.25,22.75,28.75,83.25,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,0.0
89,1644866414.5530114,15.094815254211426,101.32,23.59,22.75,24.25,29.5,84.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
90,1644866414.7186203,15.220469236373901,102.18,23.62,22.5,22.5,29.75,83.0,-44.140625,6.4453125,5.6640625,5.859375,90.0,100.0,0.19
91,1644866414.887635,15.426428079605103,102.29,23.65,22.5,22.5,29.25,83.75,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,0.0
